指标名称,指标代码,国家名称,国家代码,年份,GDP值
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1976,403793000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1977,418299000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1978,422044000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1979,439144000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1980,452470000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1981,467593000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1982,483157000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1983,472403000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1984,493966000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1985,520056000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1986,540701000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1987,554525000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1988,586473000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1989,609223000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1990,630990000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1991,628563000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1992,631285000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1993,656826000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1994,682960000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1995,709529000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1996,736957000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1997,765830000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1998,801647000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1999,841955000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2000,874927000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2001,892701000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2002,927960000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2003,956646000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2004,997007000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2005,1028470000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2006,1056970000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2007,1097020000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2008,1136770000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2009,1159000000000.0
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,2010,1184610000000.0
